Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Positiv case,Chrome 88.0.4324.104,,,2021-02-09 15:58:47,2021-02-09 16:03:43,4m - 56.875s,PASSED
,,,,,,,
Test Cases/siswa/login/positif case/TC001 Siswa berhasil login,Chrome 88.0.4324.104,pastikan siswa berhasil login,,2021-02-09 15:58:53,2021-02-09 16:01:09,2m - 16.281s,PASSED
"openBrowser("""")",Chrome 88.0.4324.104,,,2021-02-09 15:58:56,2021-02-09 16:00:16,1m - 19.880s,PASSED
"navigateToUrl(""https://devsekolah-siswa.pijarsekolah.id/login"")",Chrome 88.0.4324.104,,,2021-02-09 16:00:16,2021-02-09 16:00:51,34.818s,PASSED
"setText(findTestObject(""Object Repository/siswa/Page_Login Siswa/input_Username_username""), ""111111"")",Chrome 88.0.4324.104,,,2021-02-09 16:00:51,2021-02-09 16:01:02,11.635s,PASSED
"setEncryptedText(findTestObject(""Object Repository/siswa/Page_Login Siswa/input_Password_password""), ""aeHFOx8jV/A="")",Chrome 88.0.4324.104,,,2021-02-09 16:01:02,2021-02-09 16:01:08,5.326s,PASSED
"click(findTestObject(""Object Repository/siswa/Page_Login Siswa/button_Login""))",Chrome 88.0.4324.104,,,2021-02-09 16:01:08,2021-02-09 16:01:09,1.221s,PASSED
,,,,,,,
Test Cases/siswa/login/positif case/TC 002 siswa ubah password,Chrome 88.0.4324.104,pastikan siswa dapat akses semua menu,,2021-02-09 16:01:12,2021-02-09 16:03:43,2m - 31.354s,PASSED
"callTestCase(findTestCase(""siswa/login/positif case/TC001 Siswa berhasil login""), [:], STOP_ON_FAILURE)",Chrome 88.0.4324.104,,,2021-02-09 16:01:16,2021-02-09 16:03:18,2m - 1.339s,PASSED
"click(findTestObject(""siswa/ubah password/Page_Beranda  Pijar Sekolah/span_Data Siswa""))",Chrome 88.0.4324.104,,,2021-02-09 16:03:18,2021-02-09 16:03:29,11.320s,PASSED
"click(findTestObject(""siswa/ubah password/Page_Ubah Password  Pijar Sekolah/Page_Ubah Password  Pijar Sekolah/span_Ubah Password""), STOP_ON_FAILURE)",Chrome 88.0.4324.104,,,2021-02-09 16:03:29,2021-02-09 16:03:33,3.928s,PASSED
"setText(findTestObject(""siswa/ubah password/Page_Ubah Password  Pijar Sekolah/password lama baru dan konfirmasi password/Page_Ubah Password  Pijar Sekolah/input_Password Lama_form-control""), ""123456"")",Chrome 88.0.4324.104,,,2021-02-09 16:03:33,2021-02-09 16:03:37,4.450s,PASSED
"setText(findTestObject(""siswa/ubah password/Page_Ubah Password  Pijar Sekolah/password lama baru dan konfirmasi password/Page_Ubah Password  Pijar Sekolah/input_Password Baru_form-control""), ""123456"")",Chrome 88.0.4324.104,,,2021-02-09 16:03:37,2021-02-09 16:03:39,1.761s,PASSED
"setText(findTestObject(""siswa/ubah password/Page_Ubah Password  Pijar Sekolah/password lama baru dan konfirmasi password/Page_Ubah Password  Pijar Sekolah/input_Konfirmasi Password Baru_form-control""), ""123456"")",Chrome 88.0.4324.104,,,2021-02-09 16:03:39,2021-02-09 16:03:40,0.989s,PASSED
"click(findTestObject(""siswa/ubah password/Page_Ubah Password  Pijar Sekolah/button_Ubah Password""))",Chrome 88.0.4324.104,,,2021-02-09 16:03:40,2021-02-09 16:03:41,1.020s,PASSED
"click(findTestObject(""siswa/ubah password/Page_Ubah Password  Pijar Sekolah/a_Ok""))",Chrome 88.0.4324.104,,,2021-02-09 16:03:41,2021-02-09 16:03:43,2.227s,PASSED
